мая 16, 2024 2:00:32 PM server.managers.Logger log
INFO: Подключенно: /127.0.0.1:4806
мая 16, 2024 2:00:36 PM server.managers.Logger log
INFO: Отправлено: Organization{id=14, name='ПАО Гранд', coordinates=Coordinates{x=150, y=250}, creationDate=2024-05-06, annualTurnover=1500000, employeesCount=75, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='Vologda', town=Location{x=15.2, y=25.6, z=150}}, ownerLogin='jane_smith'}
Organization{id=32, name='wbfzgmndzamcmwo', coordinates=Coordinates{x=55, y=32}, creationDate=2024-05-12, annualTurnover=361191, employeesCount=12, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='yvffjzqpdolstsp', town=Location{x=91.0, y=82.0, z=40}}, ownerLogin='papa'}
Organization{id=33, name='zbycccgflcgrzic', coordinates=Coordinates{x=35, y=7}, creationDate=2024-05-12, annualTurnover=789325, employeesCount=20, type=OrganizationType{ООО}, officialAddress=Address{zipCode='fitrdckuljtrrrb', town=Location{x=45.0, y=88.0, z=11}}, ownerLogin='papa'}
Organization{id=34, name='shxqnuuoezljjro', coordinates=Coordinates{x=84, y=15}, creationDate=2024-05-12, annualTurnover=162244, employeesCount=18, type=OrganizationType{ООО}, officialAddress=Address{zipCode='dkfqjzhtscaynol', town=Location{x=41.0, y=76.0, z=24}}, ownerLogin='papa'}
Organization{id=35, name='sbeqroggvyjugkj', coordinates=Coordinates{x=34, y=12}, creationDate=2024-05-12, annualTurnover=672842, employeesCount=20, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='labxxqloygwaqth', town=Location{x=73.0, y=71.0, z=48}}, ownerLogin='papa'}
Organization{id=36, name='mssscbzyvqotwmk', coordinates=Coordinates{x=56, y=49}, creationDate=2024-05-12, annualTurnover=154242, employeesCount=16, type=OrganizationType{ООО}, officialAddress=Address{zipCode='bzshhprwtrosfna', town=Location{x=69.0, y=30.0, z=14}}, ownerLogin='papa'}
Organization{id=37, name='tgmwkmhhjydrevf', coordinates=Coordinates{x=67, y=47}, creationDate=2024-05-12, annualTurnover=491531, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='mtdjtwrrdwlzogb', town=Location{x=47.0, y=1.0, z=14}}, ownerLogin='papa'}
Organization{id=38, name='sesxpsqjhpbgjtj', coordinates=Coordinates{x=17, y=36}, creationDate=2024-05-12, annualTurnover=126093, employeesCount=19, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='yeehdtcpiajprqc', town=Location{x=21.0, y=71.0, z=21}}, ownerLogin='papa'}
Organization{id=39, name='sebapmxrvpqukok', coordinates=Coordinates{x=79, y=63}, creationDate=2024-05-12, annualTurnover=307206, employeesCount=18, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='mdtsgkkyinuihno', town=Location{x=79.0, y=43.0, z=84}}, ownerLogin='papa'}
Organization{id=40, name='syjmhqkamuruzzn', coordinates=Coordinates{x=60, y=88}, creationDate=2024-05-12, annualTurnover=325894, employeesCount=18, type=OrganizationType{ООО}, officialAddress=Address{zipCode='edzwtqvsvtfpidt', town=Location{x=67.0, y=86.0, z=60}}, ownerLogin='papa'}
Organization{id=41, name='xspoaakxczpnwgd', coordinates=Coordinates{x=36, y=25}, creationDate=2024-05-12, annualTurnover=744845, employeesCount=17, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='wobzbueveotrexv', town=Location{x=76.0, y=37.0, z=25}}, ownerLogin='papa'}
Organization{id=42, name='hrgfqpjgmzkkkag', coordinates=Coordinates{x=17, y=7}, creationDate=2024-05-12, annualTurnover=981918, employeesCount=13, type=OrganizationType{ООО}, officialAddress=Address{zipCode='yrtvfvffspzhyfm', town=Location{x=96.0, y=2.0, z=70}}, ownerLogin='papa'}
Organization{id=43, name='dhmxengrtywtayc', coordinates=Coordinates{x=18, y=77}, creationDate=2024-05-12, annualTurnover=660091, employeesCount=10, type=OrganizationType{ООО}, officialAddress=Address{zipCode='eofbppgkjodyprt', town=Location{x=76.0, y=43.0, z=1}}, ownerLogin='papa'}
Organization{id=44, name='nleqlwgqlkeygkw', coordinates=Coordinates{x=33, y=82}, creationDate=2024-05-12, annualTurnover=324000, employeesCount=16, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='foondqzlvclpiox', town=Location{x=14.0, y=39.0, z=57}}, ownerLogin='papa'}
Organization{id=45, name='xmphkfgxqduaucb', coordinates=Coordinates{x=34, y=74}, creationDate=2024-05-12, annualTurnover=127576, employeesCount=19, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='wwptqhpnghowtku', town=Location{x=25.0, y=77.0, z=78}}, ownerLogin='papa'}
Organization{id=46, name='axeskymqtjcsrlh', coordinates=Coordinates{x=27, y=97}, creationDate=2024-05-12, annualTurnover=523674, employeesCount=13, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='bxiegqwvokpvabm', town=Location{x=66.0, y=4.0, z=21}}, ownerLogin='papa'}
Organization{id=47, name='xbsibumtxfwjweq', coordinates=Coordinates{x=38, y=34}, creationDate=2024-05-12, annualTurnover=845266, employeesCount=19, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='ywezwwzkgvmghqy', town=Location{x=32.0, y=22.0, z=75}}, ownerLogin='papa'}
Organization{id=48, name='pvevsqpbkseuufr', coordinates=Coordinates{x=44, y=85}, creationDate=2024-05-12, annualTurnover=614274, employeesCount=19, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='nriqotdlcukberd', town=Location{x=99.0, y=13.0, z=27}}, ownerLogin='papa'}
Organization{id=49, name='zqbwgatdrunctqs', coordinates=Coordinates{x=14, y=45}, creationDate=2024-05-12, annualTurnover=797771, employeesCount=14, type=OrganizationType{ООО}, officialAddress=Address{zipCode='mbzeoprzavvlfsb', town=Location{x=76.0, y=68.0, z=63}}, ownerLogin='papa'}
Organization{id=50, name='dvsdooxpptlscrd', coordinates=Coordinates{x=34, y=24}, creationDate=2024-05-12, annualTurnover=721786, employeesCount=15, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='rmidkzarkhsqona', town=Location{x=36.0, y=59.0, z=13}}, ownerLogin='papa'}
Organization{id=51, name='rtqtsgjzqyfbjcw', coordinates=Coordinates{x=49, y=16}, creationDate=2024-05-12, annualTurnover=664495, employeesCount=16, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='hdpxellewkpyzfm', town=Location{x=78.0, y=52.0, z=17}}, ownerLogin='papa'}
Organization{id=52, name='kurlqdorpbjohzo', coordinates=Coordinates{x=33, y=11}, creationDate=2024-05-12, annualTurnover=722942, employeesCount=13, type=OrganizationType{ООО}, officialAddress=Address{zipCode='fwjatxwnamcrnig', town=Location{x=83.0, y=36.0, z=57}}, ownerLogin='papa'}
Organization{id=53, name='clqotqujffwigpo', coordinates=Coordinates{x=29, y=82}, creationDate=2024-05-12, annualTurnover=486790, employeesCount=16, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='auejqolmmbcuvfj', town=Location{x=39.0, y=41.0, z=68}}, ownerLogin='papa'}
Organization{id=54, name='imtymbjcekhenfg', coordinates=Coordinates{x=38, y=72}, creationDate=2024-05-12, annualTurnover=107919, employeesCount=12, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='daasrrldojuobex', town=Location{x=37.0, y=98.0, z=62}}, ownerLogin='papa'}
Organization{id=55, name='hxmerfzhbvfzwky', coordinates=Coordinates{x=57, y=29}, creationDate=2024-05-12, annualTurnover=998009, employeesCount=14, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='baqbwwjfbkqqgct', town=Location{x=66.0, y=92.0, z=18}}, ownerLogin='papa'}
Organization{id=56, name='yjahqbpzpssthvo', coordinates=Coordinates{x=62, y=98}, creationDate=2024-05-12, annualTurnover=747497, employeesCount=19, type=OrganizationType{ООО}, officialAddress=Address{zipCode='krenjdoybwxzmfh', town=Location{x=48.0, y=45.0, z=18}}, ownerLogin='papa'}
Organization{id=57, name='qnfiukwwaaxunru', coordinates=Coordinates{x=63, y=24}, creationDate=2024-05-12, annualTurnover=875513, employeesCount=17, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='upkeljjpqnggjoy', town=Location{x=23.0, y=38.0, z=17}}, ownerLogin='papa'}
Organization{id=58, name='mwlwuxbtnisropn', coordinates=Coordinates{x=4, y=69}, creationDate=2024-05-12, annualTurnover=658939, employeesCount=20, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='mzfurjkcpiarsft', town=Location{x=97.0, y=54.0, z=51}}, ownerLogin='papa'}
Organization{id=59, name='dmhscvnyznlvxvj', coordinates=Coordinates{x=10, y=2}, creationDate=2024-05-12, annualTurnover=133966, employeesCount=18, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='lyeijberepunlox', town=Location{x=98.0, y=70.0, z=17}}, ownerLogin='papa'}
Organization{id=60, name='mehuwipnwfiinqu', coordinates=Coordinates{x=86, y=42}, creationDate=2024-05-12, annualTurnover=668204, employeesCount=18, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='wvsefcfmbalnlyw', town=Location{x=52.0, y=100.0, z=76}}, ownerLogin='papa'}
Organization{id=61, name='tffytwbumvldwxy', coordinates=Coordinates{x=59, y=35}, creationDate=2024-05-12, annualTurnover=60339, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='txhvcpogvnlrrst', town=Location{x=2.0, y=65.0, z=7}}, ownerLogin='papa'}
Organization{id=62, name='sqwodvhbqpsnjec', coordinates=Coordinates{x=100, y=33}, creationDate=2024-05-12, annualTurnover=95575, employeesCount=11, type=OrganizationType{ООО}, officialAddress=Address{zipCode='vpkuemuqnyjypoy', town=Location{x=79.0, y=96.0, z=3}}, ownerLogin='papa'}
Organization{id=63, name='qsakuxjostgnpin', coordinates=Coordinates{x=88, y=67}, creationDate=2024-05-12, annualTurnover=707585, employeesCount=11, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='ymaiwxxrhhuxezx', town=Location{x=95.0, y=88.0, z=90}}, ownerLogin='papa'}
Organization{id=64, name='svcfxfflmqodelk', coordinates=Coordinates{x=70, y=76}, creationDate=2024-05-12, annualTurnover=118071, employeesCount=10, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='psiibdiowjmabxo', town=Location{x=94.0, y=38.0, z=54}}, ownerLogin='papa'}
Organization{id=65, name='pzyjkqzsxviesqw', coordinates=Coordinates{x=59, y=90}, creationDate=2024-05-12, annualTurnover=670719, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='buhvaixybfvapig', town=Location{x=94.0, y=60.0, z=13}}, ownerLogin='papa'}
Organization{id=66, name='klubesqybcgfcsa', coordinates=Coordinates{x=85, y=11}, creationDate=2024-05-12, annualTurnover=489105, employeesCount=12, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='wuslgzjmoaelsqd', town=Location{x=20.0, y=75.0, z=83}}, ownerLogin='papa'}
Organization{id=67, name='vcccbsrhbdpfzef', coordinates=Coordinates{x=78, y=49}, creationDate=2024-05-12, annualTurnover=498272, employeesCount=14, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='jebxhzfcpszzury', town=Location{x=50.0, y=86.0, z=46}}, ownerLogin='papa'}
Organization{id=68, name='vbeagrzjnxycgxt', coordinates=Coordinates{x=87, y=95}, creationDate=2024-05-12, annualTurnover=488327, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='nvtoafraeppzqdi', town=Location{x=1.0, y=90.0, z=80}}, ownerLogin='papa'}
Organization{id=69, name='enekekhljwfjnqg', coordinates=Coordinates{x=93, y=71}, creationDate=2024-05-12, annualTurnover=601930, employeesCount=19, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='raiuzvifhztmeth', town=Location{x=19.0, y=10.0, z=53}}, ownerLogin='papa'}
Organization{id=70, name='zpyvteeklrzvpjg', coordinates=Coordinates{x=49, y=87}, creationDate=2024-05-12, annualTurnover=530574, employeesCount=14, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='pzwhgkzykohdpxc', town=Location{x=29.0, y=44.0, z=37}}, ownerLogin='papa'}
Organization{id=71, name='tpzalmhtknvhcfa', coordinates=Coordinates{x=33, y=20}, creationDate=2024-05-12, annualTurnover=78024, employeesCount=14, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='eyxairiedqnwpce', town=Location{x=91.0, y=44.0, z=75}}, ownerLogin='papa'}
Organization{id=72, name='dzrxwmkzlqskpgj', coordinates=Coordinates{x=35, y=62}, creationDate=2024-05-12, annualTurnover=772295, employeesCount=17, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='ipfilvzfugvvioa', town=Location{x=85.0, y=92.0, z=53}}, ownerLogin='papa'}
Organization{id=73, name='sueeujbyvewpqpq', coordinates=Coordinates{x=14, y=69}, creationDate=2024-05-12, annualTurnover=761600, employeesCount=18, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='fzqtwanxaqrypxe', town=Location{x=62.0, y=38.0, z=21}}, ownerLogin='papa'}
Organization{id=74, name='ywztpogfdkmaeim', coordinates=Coordinates{x=21, y=56}, creationDate=2024-05-12, annualTurnover=971204, employeesCount=18, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='lscymhpnwkvqysi', town=Location{x=33.0, y=34.0, z=8}}, ownerLogin='papa'}
Organization{id=75, name='yndknrofildjhbj', coordinates=Coordinates{x=23, y=10}, creationDate=2024-05-12, annualTurnover=317289, employeesCount=12, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='srsezehsozqeyzv', town=Location{x=40.0, y=98.0, z=91}}, ownerLogin='papa'}
Organization{id=76, name='ytrbdsjljwcdknn', coordinates=Coordinates{x=26, y=30}, creationDate=2024-05-12, annualTurnover=53010, employeesCount=11, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='uaydxinkqkmynpu', town=Location{x=23.0, y=60.0, z=82}}, ownerLogin='papa'}
Organization{id=77, name='zknystaigmtzyxd', coordinates=Coordinates{x=87, y=18}, creationDate=2024-05-12, annualTurnover=753212, employeesCount=20, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='rvlwifqcegqetnb', town=Location{x=60.0, y=96.0, z=35}}, ownerLogin='papa'}
Organization{id=78, name='cryvhxkrpskumqy', coordinates=Coordinates{x=13, y=7}, creationDate=2024-05-12, annualTurnover=636878, employeesCount=15, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='neozobtazhssved', town=Location{x=52.0, y=1.0, z=82}}, ownerLogin='papa'}
Organization{id=79, name='zmddlpbllybziki', coordinates=Coordinates{x=9, y=9}, creationDate=2024-05-12, annualTurnover=506431, employeesCount=18, type=OrganizationType{ООО}, officialAddress=Address{zipCode='pyylwuogvhnwkxb', town=Location{x=88.0, y=61.0, z=62}}, ownerLogin='papa'}
Organization{id=80, name='ufpuxxaqdofuqfo', coordinates=Coordinates{x=21, y=61}, creationDate=2024-05-12, annualTurnover=902796, employeesCount=14, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='lpkdmitawqmhzcn', town=Location{x=84.0, y=16.0, z=40}}, ownerLogin='papa'}
Organization{id=81, name='vblwxubbtpgskiz', coordinates=Coordinates{x=18, y=20}, creationDate=2024-05-12, annualTurnover=698667, employeesCount=17, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='kitkilzzyaahxgo', town=Location{x=21.0, y=13.0, z=37}}, ownerLogin='papa'}
Organization{id=82, name='klkylcvvdorjecv', coordinates=Coordinates{x=31, y=23}, creationDate=2024-05-12, annualTurnover=525941, employeesCount=18, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='gqtqcolmaudsksj', town=Location{x=99.0, y=54.0, z=19}}, ownerLogin='papa'}
Organization{id=83, name='zboxexmuydgdjjw', coordinates=Coordinates{x=87, y=82}, creationDate=2024-05-12, annualTurnover=282558, employeesCount=15, type=OrganizationType{ООО}, officialAddress=Address{zipCode='oynrizkmrbbocyo', town=Location{x=12.0, y=11.0, z=48}}, ownerLogin='papa'}
Organization{id=84, name='pukbsqoaeazzdjl', coordinates=Coordinates{x=31, y=31}, creationDate=2024-05-12, annualTurnover=523184, employeesCount=19, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='fwugqvtfaqbzjek', town=Location{x=99.0, y=53.0, z=5}}, ownerLogin='papa'}
Organization{id=85, name='whxgloavpglepsy', coordinates=Coordinates{x=23, y=27}, creationDate=2024-05-12, annualTurnover=763488, employeesCount=11, type=OrganizationType{ООО}, officialAddress=Address{zipCode='ieugnuwfxakkipn', town=Location{x=39.0, y=57.0, z=57}}, ownerLogin='papa'}
Organization{id=86, name='wvetvcuqbuvdazs', coordinates=Coordinates{x=89, y=21}, creationDate=2024-05-12, annualTurnover=168447, employeesCount=13, type=OrganizationType{ООО}, officialAddress=Address{zipCode='tsfkqjxxtjddfnv', town=Location{x=60.0, y=62.0, z=38}}, ownerLogin='papa'}
Organization{id=87, name='ygxrbmartvgkxef', coordinates=Coordinates{x=25, y=55}, creationDate=2024-05-12, annualTurnover=149324, employeesCount=10, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='fgryiaiqiaaqwrp', town=Location{x=32.0, y=10.0, z=16}}, ownerLogin='papa'}
Organization{id=88, name='brnbsxvdgvpvvko', coordinates=Coordinates{x=65, y=80}, creationDate=2024-05-12, annualTurnover=33495, employeesCount=13, type=OrganizationType{ООО}, officialAddress=Address{zipCode='omapqwgfgfpkfom', town=Location{x=17.0, y=95.0, z=75}}, ownerLogin='papa'}
Organization{id=89, name='ylgdtyhsrlgtcwn', coordinates=Coordinates{x=96, y=54}, creationDate=2024-05-12, annualTurnover=562883, employeesCount=20, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='chjlpfmuallttxx', town=Location{x=48.0, y=30.0, z=8}}, ownerLogin='papa'}
Organization{id=90, name='ssrcltqrhicmwre', coordinates=Coordinates{x=95, y=63}, creationDate=2024-05-12, annualTurnover=522540, employeesCount=17, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='taolemepnfneokw', town=Location{x=30.0, y=41.0, z=87}}, ownerLogin='papa'}
Organization{id=91, name='skpnnhrvrgrteuv', coordinates=Coordinates{x=23, y=8}, creationDate=2024-05-12, annualTurnover=650399, employeesCount=17, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='dchdfwarkvoiord', town=Location{x=54.0, y=48.0, z=6}}, ownerLogin='papa'}
Organization{id=92, name='aghibzhhylcesca', coordinates=Coordinates{x=4, y=32}, creationDate=2024-05-12, annualTurnover=644172, employeesCount=14, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='dkxtoeepigastzk', town=Location{x=6.0, y=30.0, z=2}}, ownerLogin='papa'}
Organization{id=93, name='pecgaktnisnzxug', coordinates=Coordinates{x=35, y=54}, creationDate=2024-05-12, annualTurnover=681477, employeesCount=10, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='ckqeazhujjfddtz', town=Location{x=60.0, y=12.0, z=19}}, ownerLogin='papa'}
Organization{id=94, name='ktakfelnsjhcoaq', coordinates=Coordinates{x=69, y=78}, creationDate=2024-05-12, annualTurnover=331551, employeesCount=12, type=OrganizationType{ООО}, officialAddress=Address{zipCode='johxzykbairythl', town=Location{x=71.0, y=47.0, z=26}}, ownerLogin='papa'}
Organization{id=95, name='rlxdlhzyyaqhepz', coordinates=Coordinates{x=13, y=30}, creationDate=2024-05-12, annualTurnover=739143, employeesCount=13, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='ofzyojkexkwewuk', town=Location{x=82.0, y=81.0, z=13}}, ownerLogin='papa'}
Organization{id=96, name='gfjyqrzbevmsape', coordinates=Coordinates{x=78, y=53}, creationDate=2024-05-12, annualTurnover=367588, employeesCount=10, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='suqezsfrekybasp', town=Location{x=7.0, y=11.0, z=50}}, ownerLogin='papa'}
Organization{id=97, name='qpimhfgculpgpte', coordinates=Coordinates{x=8, y=65}, creationDate=2024-05-12, annualTurnover=166313, employeesCount=11, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='ceqotmqlpwhoelt', town=Location{x=68.0, y=74.0, z=65}}, ownerLogin='papa'}
Organization{id=98, name='zzuhsczajjvatpr', coordinates=Coordinates{x=29, y=28}, creationDate=2024-05-12, annualTurnover=118236, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='akxhesadvlvvugl', town=Location{x=10.0, y=1.0, z=37}}, ownerLogin='papa'}
Organization{id=99, name='nqrvscbddnpogvo', coordinates=Coordinates{x=19, y=18}, creationDate=2024-05-12, annualTurnover=843699, employeesCount=13, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='hxngdavfzdprccu', town=Location{x=86.0, y=32.0, z=57}}, ownerLogin='papa'}
Organization{id=100, name='gqegprjkbnswstc', coordinates=Coordinates{x=17, y=88}, creationDate=2024-05-12, annualTurnover=749587, employeesCount=12, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='kucnuqoczixnuab', town=Location{x=32.0, y=80.0, z=76}}, ownerLogin='papa'}
Organization{id=101, name='zbimjbqlzsyixjd', coordinates=Coordinates{x=94, y=40}, creationDate=2024-05-12, annualTurnover=533176, employeesCount=11, type=OrganizationType{ООО}, officialAddress=Address{zipCode='mgfoqgagiyhjfmb', town=Location{x=58.0, y=9.0, z=36}}, ownerLogin='papa'}
Organization{id=102, name='bzxyizyyhuiyhlm', coordinates=Coordinates{x=93, y=91}, creationDate=2024-05-12, annualTurnover=887575, employeesCount=17, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='yuxschdvqootcxi', town=Location{x=70.0, y=49.0, z=29}}, ownerLogin='papa'}
Organization{id=103, name='frfnzbxjjqithuv', coordinates=Coordinates{x=89, y=80}, creationDate=2024-05-12, annualTurnover=744581, employeesCount=19, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='vtuwtxxhejqwgsh', town=Location{x=27.0, y=67.0, z=72}}, ownerLogin='papa'}
Organization{id=104, name='aktzuxfyhlqjppf', coordinates=Coordinates{x=95, y=90}, creationDate=2024-05-12, annualTurnover=900731, employeesCount=18, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='rthzpkrrjeasmot', town=Location{x=42.0, y=68.0, z=88}}, ownerLogin='papa'}
Organization{id=105, name='gfzflhjjwaeisqi', coordinates=Coordinates{x=24, y=100}, creationDate=2024-05-12, annualTurnover=456321, employeesCount=18, type=OrganizationType{ООО}, officialAddress=Address{zipCode='lifemxwvthuzbnr', town=Location{x=87.0, y=61.0, z=71}}, ownerLogin='papa'}
Organization{id=106, name='tdgbpcyrbcltzmi', coordinates=Coordinates{x=83, y=52}, creationDate=2024-05-12, annualTurnover=334364, employeesCount=13, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='fycbotcwxpltebb', town=Location{x=4.0, y=30.0, z=65}}, ownerLogin='papa'}
Organization{id=107, name='zohktmsdjqcigtt', coordinates=Coordinates{x=67, y=79}, creationDate=2024-05-12, annualTurnover=55124, employeesCount=13, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='dfevhvctqpthblb', town=Location{x=26.0, y=14.0, z=95}}, ownerLogin='papa'}
Organization{id=108, name='klmzyuwiyfrtnnj', coordinates=Coordinates{x=21, y=22}, creationDate=2024-05-12, annualTurnover=435643, employeesCount=19, type=OrganizationType{ООО}, officialAddress=Address{zipCode='zquggaocafsvonl', town=Location{x=46.0, y=77.0, z=58}}, ownerLogin='papa'}
